url,label,class,http_status,phiusiil_index
http://www.weekdanys.com,1,phishing,200,167532
https://www.exxen.com,0,legitimate,200,228507
https://www.4himinafrica.com,0,legitimate,200,92927
http://www.ideastax.com,1,phishing,405,163357
https://www.marshviewcottage.co.uk,0,legitimate,200,61937
http://www.chefkennethclay.com,1,phishing,200,203112
https://www.westernfolklife.org,0,legitimate,200,98497
https://www.nachoua.com,0,legitimate,200,130139
https://onlinequranteaching.com/public/hxrqluo8rcjq7uxgq4bzavld4rzu1sot,1,phishing,405,234741
https://www.black-history-month.co.uk,0,legitimate,200,79790
https://www.aramlibrary.org,0,legitimate,200,124511
http://onnonetworks.com/,1,phishing,200,85072
https://www.qdonow.com,0,legitimate,200,177221
https://www.appreciationatwork.com,0,legitimate,200,58262
https://www.ararat.lt,0,legitimate,200,197319
http://www.pmbuttkdifgl.xyz,1,phishing,200,75863
https://www.clvu.org,0,legitimate,200,177638
http://paraguayfamiliar.hostfree.pw/,1,phishing,200,116247
https://demo3.cloudwp.dev/trial-x76422v1/xs/swiis/index.php,1,phishing,200,56593
https://storageapi.fleek.co/9f8d1f4a-5e8d-4843-bf30-4886d4379c42-bucket/aduconfig.html,1,phishing,403,114990
http://itaupy-ingresarvalidaciones.hstn.me/?i=1,1,phishing,200,218835
https://www.cubemaker.com,0,legitimate,200,26588
https://www.treknepalhimalaya.com,0,legitimate,200,8638
https://stepp19-ced6c.firebaseapp.com/,1,phishing,200,195782
https://www.entrio.hr,0,legitimate,403,129853
http://www.sol-doc.xyz,1,phishing,200,110322
https://www.gayshamesf.org,0,legitimate,200,107555
https://wandering-frosreg.people-meedia.workers.dev/,1,phishing,405,56899
http://www.phayrostudios.com,1,phishing,200,38929
https://corporatedefenseetl.com/wp-admin/widgs/0a777fda3f29281ce/,1,phishing,405,34366
https://www.denik.cz,0,legitimate,200,183980
https://www.greenfieldpubliclibrary.org,0,legitimate,200,136839
https://www.wildlifesydney.com.au,0,legitimate,200,191086
https://www.johnstoncountync.org,0,legitimate,200,44902
http://www.fcserbiaunited.com,1,phishing,200,165394
http://www.arjunmajumdar.com,1,phishing,200,167529
https://www.rockstarsb.com,0,legitimate,200,176253
https://www.oceansandmountains.de,0,legitimate,200,42922
https://www.kottke.org,0,legitimate,200,120344
http://www.mgaccounting.am,1,phishing,200,113407
https://www.u-obd.com,0,legitimate,200,179385
https://www.mnsu.edu,0,legitimate,200,106003
http://panemicav2.rf.gd,1,phishing,200,84208
https://www.concur.com,0,legitimate,200,197510
http://www.juculhdd.org,1,phishing,200,93024
http://www.ntec.es,1,phishing,200,77786
https://www.laeger.dk,0,legitimate,200,65782
https://www.brand-ok.com,0,legitimate,200,120875
https://www.rookiesandkings.com,0,legitimate,200,35317
https://www.watchpodcases.com,0,legitimate,200,72815
https://www.gypsyroseflowershop.com,0,legitimate,200,60162
https://outlookcom173.yolasite.com/,1,phishing,403,198561
