url,ground_truth,ground_truth_class,phiusiil_index,error_type,error_message,elapsed_sec
https://www.cbpbook.com,0,legitimate,25705,timeout,Exceeded 90s,90.015
http://www.nbipiubmedcw.com,1,phishing,186598,timeout,Exceeded 90s,90.013
https://www.gypsumceilingkenya.co.ke,0,legitimate,60212,timeout,Exceeded 90s,90.002
http://www.logowrench.website,1,phishing,64448,timeout,Exceeded 90s,90.002
https://atttyguftyr7.boxmode.io/,1,phishing,96997,timeout,Exceeded 90s,90.014
http://www.weddingsbyiceberg.com,1,phishing,193695,timeout,Exceeded 90s,90.002
https://www.prospectsplus.com,0,legitimate,16721,timeout,Exceeded 90s,90.005
http://www.clickrapidoonline.com,1,phishing,59772,timeout,Exceeded 90s,90.003
https://www.fossilebtp.fr,0,legitimate,35909,timeout,Exceeded 90s,90.007
https://accepupdeting.start.page/,1,phishing,811,timeout,Exceeded 90s,90.013
https://www.enzyklo.de,0,legitimate,42071,timeout,Exceeded 90s,90.001
https://tinyurl.com/n46yywaw,1,phishing,196816,timeout,Exceeded 90s,90.006
https://www.isenburg-zentrum.com,0,legitimate,13955,timeout,Exceeded 90s,90.005
http://www.whatismyip.li,1,phishing,221348,timeout,Exceeded 90s,90.009
https://www.moreprepared.com,0,legitimate,186235,timeout,Exceeded 90s,90.013
https://www.teamgale.net,0,legitimate,208416,timeout,Exceeded 90s,90.01
https://publis.start.page/,1,phishing,39478,timeout,Exceeded 90s,90.009
http://www.iceanedy.com,1,phishing,45977,timeout,Exceeded 90s,90.008
https://www.showtv.com.tr,0,legitimate,101965,timeout,Exceeded 90s,90.01
https://www.cosbid.org,0,legitimate,176408,timeout,Exceeded 90s,90.001
https://www.boa-constrictors.com,0,legitimate,21408,timeout,Exceeded 90s,90.005
https://www.finduniversity.ph,0,legitimate,225027,timeout,Exceeded 90s,90.005
http://www.hareland.info,1,phishing,131667,timeout,Exceeded 90s,90.006
https://www.dogsbodynet.com,0,legitimate,60907,timeout,Exceeded 90s,90.015
https://www.anextour.com.ua,0,legitimate,136866,timeout,Exceeded 90s,90.015
https://www.townofgypsum.com,0,legitimate,65619,timeout,Exceeded 90s,90.004
https://www.xjkunlun.cn,0,legitimate,82714,timeout,Exceeded 90s,90.004
https://www.corkrdo.ie,0,legitimate,10746,timeout,Exceeded 90s,90.003
https://storageapi.fleek.co/b620e7da-f4f5-4e6e-8d8e-8c4c3783180b-bucket/vat13/index.html,1,phishing,197020,timeout,Exceeded 90s,90.006
https://www.anamosa.k12.ia.us,0,legitimate,176855,timeout,Exceeded 90s,90.009
https://nosposte458d.yolasite.com/,1,phishing,89629,timeout,Exceeded 90s,90.003
https://www.poestrong.com,0,legitimate,94027,timeout,Exceeded 90s,90.013
https://www.mcdonalds.rs,0,legitimate,6313,timeout,Exceeded 90s,90.009
http://www.bxgjiage.com,1,phishing,72090,timeout,Exceeded 90s,90.007
https://formaloo.net/2plv4,1,phishing,199154,timeout,Exceeded 90s,90.001
http://www.hnjhkm.com,1,phishing,175780,timeout,Exceeded 90s,90.013
https://storageapi.fleek.co/7199a3c8-6999-4bcf-ab21-df4f03a355f8-bucket/wins.html,1,phishing,229711,timeout,Exceeded 90s,90.014
http://uhcthankyou.com,1,phishing,119711,timeout,Exceeded 90s,90.013
https://sites.google.com/view/mobile-redirect-system,1,phishing,135053,timeout,Exceeded 90s,90.006
http://www.inducar.kinghost.net,1,phishing,28703,timeout,Exceeded 90s,90.004
https://www.respectmyregion.com,0,legitimate,115233,timeout,Exceeded 90s,90.015
https://www.catchyfreebies.com,0,legitimate,206146,timeout,Exceeded 90s,90.011
https://case1009841851085.web.app/,1,phishing,42367,timeout,Exceeded 90s,90.01
https://www.conspiracyarchive.com,0,legitimate,29936,timeout,Exceeded 90s,90.002
https://www.chalani.net,0,legitimate,233545,timeout,Exceeded 90s,90.008
https://www.chcs.org,0,legitimate,85297,timeout,Exceeded 90s,90.011
http://www.kenniscourtureconsignments.com,1,phishing,201507,timeout,Exceeded 90s,90.002
https://www.kyushuandtokyo.org,0,legitimate,104951,timeout,Exceeded 90s,90.01
https://www.bestmastersprograms.org,0,legitimate,178210,timeout,Exceeded 90s,90.013
http://www.institutohumanus.org.br,1,phishing,154274,timeout,Exceeded 90s,90.009
https://www.istinye.edu.tr,0,legitimate,139922,timeout,Exceeded 90s,90.012
https://rcl.ink/lwlbz,1,phishing,146552,timeout,Exceeded 90s,90.005
https://www.uwp.co.uk,0,legitimate,209808,timeout,Exceeded 90s,90.012
https://gateway.pinata.cloud/ipfs/bafybeidralia2bkrev43jlnhhxyadvex4xa7tmzzc3kuasqz6ukhrl5r7q,1,phishing,107035,timeout,Exceeded 90s,90.01
https://www.aramlibrary.org,0,legitimate,124511,timeout,Exceeded 90s,90.011
http://www.ebumna.net,1,phishing,50405,timeout,Exceeded 90s,90.005
https://www.cittadellaspezia.com,0,legitimate,11610,timeout,Exceeded 90s,90.01
https://www.vase.com.au,0,legitimate,178260,timeout,Exceeded 90s,90.0
http://www.micronews.eu,1,phishing,213909,timeout,Exceeded 90s,90.011
https://www.augoustinos-kantiotis.gr,0,legitimate,30459,timeout,Exceeded 90s,90.008
https://www.danobrien.com,0,legitimate,105374,timeout,Exceeded 90s,90.005
https://www.apteka-sadivnyka.ua/alegrospolish/0/,1,phishing,116040,timeout,Exceeded 90s,90.003
https://www.karikatur-museum.de,0,legitimate,143229,timeout,Exceeded 90s,90.008
https://csvhwubije.firebaseapp.com/,1,phishing,136261,timeout,Exceeded 90s,90.013
