id,url,label,source,ground_truth
36720,https://lightwidget.com/add-ons,0,tranco,0
98389,http://afnan00777.github.io/Netflix-clone,1,phishtank,1
93856,http://38b.mred365.cn,1,phishtank,1
72576,https://pub-c7f440236a9e4596b155c7ab367794d3.r2.dev/index.html,1,phishtank,1
10172,https://www.google.com/intl/ar/gmail/about/for-work/,0,tranco,0
26176,https://vine.co/terms,0,tranco,0
29894,https://onlineradiobox.com/fra/,0,tranco,0
53893,https://tinyurl.com/sirt7wa,1,phishtank,1
35980,https://www.okta.com/,0,tranco,0
54385,http://enlinaea.9e.cz/,1,phishtank,1
58392,https://us16.campaign-archive.com/?u=66df2de373412b00e90bc7c46&id=0252dcafac,1,phishtank,1
67697,https://www.googleadservices.com/pagead/aclk?sa=L&ai=COF1dzpSMX_ODNNSlYIm6j4AL_YXA3F-Jitbh7AzX1qK9wAEQASCGj4ACYOmC44P8DaABponrjAPIAQaoAwGqBLkBT9AtUtKHTCYpfk-5QYz0sKM3UK9zWtWGT07E2RD5pF-UwZWqUTFeiloIAGodB-1OH3gAPu_X4rX4iTbQrnov9XA2M5puwv8Yr3QvEavPs02ngX-20FpR4dhh8Str4qjoX64d0YkiHpHeVgAVQUlvNmcG-ZdW_NQgukg09T5jy4ttFSmdjuIM_Omf5LlsL_z9KE5XSIjZxJjbOXU5zdNvZgu8NO7nxsoHDzvQTNuvPsE83saCZz3SDznABPH-gqWsA5AGAaAGN4AHnuKAN4gHAZAHAqgHjs4bqAfVyRuoB5PYG6gHugaoB-DgG6gH8NkbqAfy2RuoB6a-G6gH7NUbqAfz0RuoB-zVG6gHltgbqAfC2hvYBwCoCAHSCAYIABACGAKxCSLzaiQ_aTAQgAoTmAsByAsF0AstgAwB2BMMqBUB2BUB&ae=1&num=1&cid=CAMSOQClSFh3R3VmeIc4urnRAwz2EAp0nZrt6U2yzVqduMRkRj1I3kd9-ONP3SfmWUrbv5wapOb8_wKG1A&sig=AOD64_2ZqN1xOV_UkfWpmJc3foqPV3cTog&client=ca-gmail&label=gmail_message_ad_external_click&adurl=https%3A%2F%2Fqrco.de%2FbfUwgC?trackingid=H8UYufbGBWdSPFNVKalsn3DOIhr&signature=newsletter,1,phishtank,1
22590,https://www.ertnews.gr/news/eidiseis/ellada/,0,tranco,0
26361,https://www.pokepara.jp/_hokkaido/m801/a1801/g211/,0,tranco,0
26012,https://shbet800.com/Lobby/Game,0,tranco,0
96256,http://852229979043039984840232474925377867.hanefra7bikiemta.com,1,phishtank,1
43657,https://chicoryapp.com/publishers,0,tranco,0
32589,https://www.cmtelematics.com/news/cambridge-mobile-telematics-named-best-among-global-north-american-telematics-service-providers-smartphone-apps/,0,tranco,0
81040,https://onlinetalker.urest.org/,1,phishtank,1
57830,https://www.dropbox.com/scl/fi/rmngh9ire4d7fl2d4tqs9/VIEW-YOUR-BILL-BELOW.paper?rlkey=qewutdlldtm2176fs8winemhd&st=8266dwtn&dl=0,1,phishtank,1
92752,http://193.53.126.248/pc/index.php?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.smbc.co.jp%2F%3Fref_%3Dnav_em_hd_re_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=jpflex&openid.mode=checkid_setup&key=a@b.c&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&&ref_=nav_em_hd_clc_signinhttps://www.smbc.co.jp,1,phishtank,1
83781,https://finablkaredig.firebaseapp.com/,1,phishtank,1
32857,https://filmfreeway.com/,0,tranco,0
1830,https://info.arxiv.org/help,0,tranco,0
70835,https://l.ead.me/bfMvPO,1,phishtank,1
18598,https://sporza.be/,0,tranco,0
3132,https://aftonbladet.se/,0,tranco,0
31920,https://apps.expediapartnercentral.com/lodging/help/contactus.html,0,tranco,0
8257,https://www.joomla.org/core-features.html,0,tranco,0
59895,https://bestwalletoken.web.app/,1,phishtank,1
95897,http://6fgfgfgrfg4g.blogspot.pe,1,phishtank,1
15786,https://www.fontanka.ru/text/2021/,0,tranco,0
37405,https://websitesource.com/login.php,0,tranco,0
1688,https://global.oup.com/academic/category/dictionaries-and-reference,0,tranco,0
23205,https://www.fau.de/presse/publikationen/faumagazin/,0,tranco,0
44805,https://www.blackcrow.ai/case-studies,0,tranco,0
12832,https://www.parentsquare.com/blog/2015-12-18-warmest-wishes-from-parentsquare/,0,tranco,0
96034,http://76373091091981985909805.jamb2022.co/?03551563584213891805893947405326280=YWhlZ2dlbkBwcm9jb29wZXJhdGl2ZS5jb20=,1,phishtank,1
21458,https://www.viki.com/,0,tranco,0
6185,https://www.adswizz.com/adswizz-new-digital-advertising-solution-gets-positive-results/,0,tranco,0
26072,https://www.schemaapp.com/schema-markup/strange-behaviors-in-googles-structured-data-testing-tool/,0,tranco,0
17805,https://goldapple.ru/s/marker-dlya-glaz,0,tranco,0
82838,https://sites.google.com/view/kifdalbossi/,1,phishtank,1
85875,http://smgtc.com/old/PMV/,1,phishtank,1
25013,https://ably.net/pricing,0,tranco,0
6099,https://www.hover.com/renew,0,tranco,0
47079,https://gdpr.eu/recital-3-directive-95-46-ec-harmonisation/,0,tranco,0
86238,https://bi-enlinea.webcindario.com/,1,phishtank,1
45057,https://weatherbug.com//www.groundtruth.com/company/management/,0,tranco,0
69073,https://q-r.to/bfR3h8,1,phishtank,1
32182,https://allstar.gg/legal/terms-of-use,0,tranco,0
13959,https://subscribe.freep.com/rr/masthead?gps-source=CPMASTHEAD&itm_campaign=2025ENTCFTEST5&itm_medium=ONSITE&success-url=https%3A%2F%2Fwww.freep.com%2F,0,tranco,0
9350,https://timesofisrael.com/,0,tranco,0
15109,https://uxfeedback.ru/cases.html,0,tranco,0
51493,https://www.menti.com/altin2t9c316,1,phishtank,1
41142,https://gaiaonline.com//www.gaiaonline.com/forum/t.113992572,0,tranco,0
51521,https://myuthscsa-weblogin.webflow.io/,1,phishtank,1
48744,https://mollygram.com/why-are-your-online-entertainment-choices-valuable-to-data-brokers,0,tranco,0
8479,https://www.xe.com/en-au/,0,tranco,0
9058,http://www.vihub.ru/robots.txt,0,tranco,0
53785,https://nolanainternational.com/wp/jcu/s/a/session_index,1,phishtank,1
29703,https://www.harness.io/products/harness-ai,0,tranco,0
10394,https://www.e-recht24.de/,0,tranco,0
2013,https://www.ya.ru,0,tranco,0
83283,https://gasevoj859.systeme.io/,1,phishtank,1
14170,https://linke.ai/chat_Emma-Johnson_12950,0,tranco,0
99991,http://amber-trail.pages.dev,1,phishtank,1
91738,http://roundcube-production-cf.tx1.mailhostbox.com/,1,phishtank,1
15674,https://www.degruyterbrill.com/journal/key/zgre/html?lang=en,0,tranco,0
22723,https://selfserve.steemit.com,0,tranco,0
73002,https://qrco.de/bfJWyw,1,phishtank,1
59647,https://eu.jotform.com/app/251732821092352,1,phishtank,1
98455,http://aged-pond-b6fb.barzasurti.workers.dev,1,phishtank,1
9958,https://www.google.com/intl/am/gmail/about/policy/,0,tranco,0
23252,https://www.google.com/intl/am/gmail/about/for-work/,0,tranco,0
10491,https://www.uscis.gov/home,0,tranco,0
23401,https://www.google.com/intl/am/gmail/about/,0,tranco,0
68995,https://sites.google.com/view/qaxqf/home,1,phishtank,1
51383,https://uwi.dkk.mybluehost.me/PL-PLN-PEUIXMLPDBVJKNRTGA/app/login.php,1,phishtank,1
58300,https://bradescosaudebrasilia.com.br,1,phishtank,1
35847,https://burberry.com/l/womens-clothing/new-arrivals/,0,tranco,0
62378,https://nckjzh.weebly.com/,1,phishtank,1
42752,https://www.kaufda.de/Branchen/Supermarkt,0,tranco,0
3754,https://www.cardekho.com/te/,0,tranco,0
34940,https://www.dewaweb.com/?ref=statically.io,0,tranco,0
38534,https://24h.tv/contents/boy-kills-world-1000134254307530474,0,tranco,0
65432,https://q-r.to/bfbkcn,1,phishtank,1
72056,https://qrco.de/bfK5SZ,1,phishtank,1
95114,http://5fgfgfgfg4gh54.blogspot.sn,1,phishtank,1
42591,https://www.opensignal.com/local-ratings-by-state,0,tranco,0
85494,https://new.express.adobe.com/webpage/q2fFn1VtOLKv6,1,phishtank,1
16232,https://myaccount.mercadolibre.com.co/purchases/list,0,tranco,0
32626,https://rollbar.com/blog/introducing-notifications-api-to-automate-notification-settings-across-projects/,0,tranco,0
89319,http://wessamoptical.com/,1,phishtank,1
26445,https://olympic.org/en/sport-events/,0,tranco,0
9404,https://www.tomsguide.com/computing/online-security/nearly-500-000-patients-hit-in-massive-healthcare-data-breach-everything-you-need-to-know,0,tranco,0
36083,https://www.feathr.co/resources/blog/3-ways-to-keep-exhibitors-coming-back-year-after-year,0,tranco,0
40863,https://benzuber.ru/,0,tranco,0
25685,https://www.alfavita.gr/koinonia/686_dynati-anodos-stis-diethneis-agores-kai-sto-eyro,0,tranco,0
54449,http://test-crypto-chi.vercel.app,1,phishtank,1
40440,https://www.digimedia.com/about/,0,tranco,0
51182,https://sumup.fyn.zoy.temporary.site/anisde,1,phishtank,1
75660,https://bit.ly/4feJDKG,1,phishtank,1
16248,https://www.muni.cz/en/admissions,0,tranco,0
91810,https://drive.google.com/file/d/19zPw90jGON3J5mERXi1pauVKjDMx8NFQ/edit,1,phishtank,1
72708,https://qrco.de/bfJWp9,1,phishtank,1
27706,https://2k.com/studios/hangar-13/,0,tranco,0
14937,https://tacobell.com/wps/portal/yumbrands/Yumbrands/company/about-yum-brands/senior-officers-and-leadership-team,0,tranco,0
44210,https://education.gov.in/en,0,tranco,0
94796,http://5fdff32d2df3.blogspot.hr,1,phishtank,1
33176,https://allafrica.com/,0,tranco,0
69594,https://l.ead.me/bfP8cf,1,phishtank,1
85789,https://chnverifi.webcindario.com/,1,phishtank,1
30388,http://bbs.itzmx.com/,0,tranco,0
3026,https://www.tnaflix.com/,0,tranco,0
29181,https://www.on24.com/blog/ww18-syd-adma-blog/,0,tranco,0
60070,https://sp409355.sitebeat.crazydomains.com/,1,phishtank,1
27293,https://masterhost.ru/about/doc/agreement-info-jur/,0,tranco,0
90333,https://remondrebezere.web.app/,1,phishtank,1
96608,http://9878748.pages.dev,1,phishtank,1
65298,https://centerpolicy-helps.pages.dev/,1,phishtank,1
68718,https://qrco.de/bfS0tK,1,phishtank,1
60273,https://webmailitecalgovn.weebly.com/,1,phishtank,1
51882,https://t.co/C9uOeR2b52,1,phishtank,1
66076,https://bit.ly/3Z5kgDU,1,phishtank,1
66070,https://qrco.de/bfaX1v?AAo=lTZaABvNTT,1,phishtank,1
90327,https://enirvod.web.app/,1,phishtank,1
56805,https://linktr.ee/cusctlanweb,1,phishtank,1
13034,https://buymeacoffee.com/about,0,tranco,0
22857,https://telekom.com/en/company/worldwide,0,tranco,0
61802,https://vidieotroni88euiu.weebly.com/,1,phishtank,1
33826,https://www.superbrowser.com/news/post/3.html,0,tranco,0
57388,https://site-018mj9y97.godaddysites.com/,1,phishtank,1
26355,https://sbi.bank.in/hi/,0,tranco,0
40413,https://www.thedailystar.net/sports/cricket/we-need-nurture-him-100000,0,tranco,0
54847,https://makeawayformeolord.weebly.com/,1,phishtank,1
72185,https://qrco.de/bfK5aM,1,phishtank,1
33029,https://roistat.com/ru/changelog,0,tranco,0
31895,https://www.recombee.com/blog/ai-assistants-know-your-preferences-even-better-than-you-do,0,tranco,0
14841,https://kolkataff.tv/kolkata-fatafat-ff-august-chart-old-result/,0,tranco,0
